from_metric,to_metric,relationship,declared_on,to_exists
clv,aov,parent_of,clv,True
clv,purchase_frequency,parent_of,clv,True
clv,customer_churn_rate,parent_of,clv,True
clv,cohort_ltv_12m,parent_of,clv,True
clv,cohort_ltv_24m,parent_of,clv,True
clv,cross_sell_rate,parent_of,clv,True
clv,customer_retention_rate,parent_of,clv,True
clv,refund_rate,parent_of,clv,True
clv,cac,correlated_with,clv,True
clv,nrr,correlated_with,clv,True
clv,cohort_ltv_12m,correlated_with,clv,True
clv,aov,correlated_with,clv,True
customer_ltv,arpu,parent_of,customer_ltv,True
customer_ltv,churn_rate,parent_of,customer_ltv,True
customer_ltv,ltv_cac,correlated_with,customer_ltv,True
customer_ltv,net_revenue_retention,correlated_with,customer_ltv,True
customer_ltv,arpu,correlated_with,customer_ltv,True
district_proficiency_rate,ela_proficiency_rate,parent_of,district_proficiency_rate,True
district_proficiency_rate,math_proficiency_rate,parent_of,district_proficiency_rate,True
district_proficiency_rate,science_proficiency_rate,parent_of,district_proficiency_rate,True
district_proficiency_rate,four_year_grad_rate,correlated_with,district_proficiency_rate,True
district_proficiency_rate,sgp,correlated_with,district_proficiency_rate,True
district_proficiency_rate,ap_pass_rate,correlated_with,district_proficiency_rate,True
student_proficiency,attendance_rate,parent_of,student_proficiency,True
student_proficiency,chronic_absenteeism,parent_of,student_proficiency,True
student_proficiency,instructional_minutes,parent_of,student_proficiency,True
student_proficiency,avg_teacher_experience,parent_of,student_proficiency,True
student_proficiency,ell_pct,parent_of,student_proficiency,True
student_proficiency,ell_proficiency_growth,parent_of,student_proficiency,True
student_proficiency,frl_pct,parent_of,student_proficiency,True
student_proficiency,graduation_rate,parent_of,student_proficiency,True
student_proficiency,iep_goal_mastery_rate,parent_of,student_proficiency,True
student_proficiency,iep_pct,parent_of,student_proficiency,True
student_proficiency,on_time_lesson_delivery,parent_of,student_proficiency,True
student_proficiency,per_pupil_expenditure,parent_of,student_proficiency,True
student_proficiency,school_climate_score,parent_of,student_proficiency,True
