metricId,dimension_id,queryable
clv,metric_time,y
clv,segment,n
clv,cohort,n
customer_ltv,customer,y
customer_ltv,segment,y
customer_ltv,cohort_month,y
customer_ltv,acquisition_channel,y
student_proficiency,school,y
student_proficiency,subject,y
student_proficiency,grade_level,y
student_proficiency,subgroup,y
student_proficiency,school_year,y
college_enrollment_rate,school_year,y
college_enrollment_rate,school,y
cost_per_outcome,school,y
cost_per_outcome,metric_time,y
ebitda,metric_time,y
enterprise_value,metric_time,y
free_cash_flow,metric_time,y
marketing_roi,metric_time,y
marketing_roi,campaign,y
ops_efficiency_ratio,metric_time,y
ops_north_star,warehouse,y
ops_north_star,carrier,y
ops_north_star,metric_time,y
pipeline_generated,metric_time,y
pipeline_generated,channel,y
rule_of_40,company,y
rule_of_40,metric_time,y
employee_lifetime_value,job_level,y
employee_lifetime_value,department,y
employee_lifetime_value,hire_cohort,y
headcount,metric_time,y
headcount,department,y
headcount,location,y
turnover_rate,metric_time,y
turnover_rate,department,y
four_year_grad_rate,school_year,y
four_year_grad_rate,school,y
four_year_grad_rate,subgroup,y
four_year_grad_rate,cohort_year,y
mql,metric_time,y
mql,channel,y
mql,campaign,y
mql,source,y
on_time_delivery_rate,metric_time,y
on_time_delivery_rate,region,y
on_time_delivery_rate,carrier,y
on_time_delivery_rate,product_category,y
cx_csat,metric_time,y
cx_csat,product,y
cx_csat,channel,y
nps,segment,y
nps,product,y
nps,metric_time,y
account_health_score,metric_time,y
account_health_score,customer,y
account_health_score,segment,y
account_health_score,plan_tier,y
account_health_score,cohort_month,y
aov,metric_time,y
aov,segment,y
aov,channel,y
cac,metric_time,y
cac,channel,y
cac_payback,metric_time,y
cac_payback,channel,n
cac_payback,segment,n
cac_payback,cohort,n
ces,channel,y
ces,interaction_type,y
ces,metric_time,y
cohort_ltv_12m,metric_time,y
cohort_ltv_12m,cohort,y
cohort_ltv_12m,channel,y
cohort_ltv_24m,metric_time,y
cohort_ltv_24m,cohort,y
customer_onboarding_time,segment,y
customer_onboarding_time,product,y
customer_onboarding_time,cs_rep,y
customer_onboarding_time,metric_time,y
ltv_cac,metric_time,y
ltv_cac,channel,n
marketing_cac,metric_time,y
marketing_cac,channel,y
process_automation_rate,metric_time,y
purchase_frequency,metric_time,y
purchase_frequency,segment,y
refund_rate,metric_time,y
refund_rate,product,y
renewal_rate,segment,y
renewal_rate,plan_tier,y
renewal_rate,cs_rep,y
renewal_rate,metric_time,y
repeat_purchase_rate,metric_time,y
advanced_course_enrollment_rate,school,y
advanced_course_enrollment_rate,grade_level,n
advanced_course_enrollment_rate,demographic_group,n
advanced_course_enrollment_rate,metric_time,y
cross_sell_rate,metric_time,y
cross_sell_rate,product_category,y
dropout_rate,school_year,y
dropout_rate,school,y
dropout_rate,subgroup,y
ela_proficiency_rate,school_year,y
ela_proficiency_rate,grade_level,y
ela_proficiency_rate,school,y
ell_proficiency_growth,school,y
ell_proficiency_growth,grade_level,y
ell_proficiency_growth,home_language,y
ell_proficiency_growth,metric_time,y
fafsa_completion_rate,school,y
fafsa_completion_rate,demographic_group,y
fafsa_completion_rate,metric_time,y
grade3_reading,school_year,n
grade3_reading,school,y
iep_goal_mastery_rate,school,y
iep_goal_mastery_rate,disability_category,y
